Image,Status,Confidence_Score,Payment_Score,Original_Text,Normalized_Text,Detected_Phrases,Recommended_Deletion
Images payments/Screenshot_20241116_215658_ Hana EZ.jpg,unknown,0.7,2,"9:56 경치 ° ull 18%O ACCOUNT OVERSEAS REMITTANCE SERVICE My account intonation > (9) 시 응소, 0 i ore - OD Sli a . ets SS SO Se aay ge NY ad PARR ee tA eee Goat & Dis Ey Be Ba eh Ne IS ie pe 5 J sa BAN Se ...","9:56 경치 ° ull 18%O ACCOUNT OVERSEAS REMITTANCE SERVICE My account intonation > (9) 시응소, 0 i ore - OD Sli a . ets SS SO Se aay ge NY ad PARR ee tA eee Goat & Dis Ey Be Ba eh Ne IS ie pe 5 J sa BAN Se a...",Medium payment score: 2,NO
Images payments/Screenshot_20250522_230843_Toss.jpg,unknown,0.7,2,10009 0 ㅇ HL BF & 59952 김 용 채 팀 에 000 © <,10009 0 ㅇ HL BF & 59952 김용채팀에 000 © <,Medium payment score: 2,NO
Images payments/Screenshot_20241128_182459_Chrome.jpg,payment_successful,0.9,4,"(6524! GVO @& 8 숄 > 국 제 마케팅 > 13\66<[2514006… > Final group assign: Final group assignment (10%) DUE by 23:55, Friday Nov 29 [Group assignment (10%): PPT slides (7 points) + presentation (3 points)] D...","(6524! GVO @& 8 숄 > 국제마케팅 > 13\66<[2514006… > Final group assign: Final group assignment (10%) DUE by 23:55, Friday Nov 29 [Group assignment (10%): PPT slides (7 points) + presentation (3 points)] DUE...","sent, sent, sent",YES
Images payments/Screenshot_20241216_162742_Contacts.jpg,payment_successful,0.7,1,4:27 B 시 XK = ull 820 < Muhammad Fozil Aka Mobile +998 99 133 11 01 ©) to W 4 < Favourites Edit Share More II O <,4:27 B 시 XK = ull 820 < Muhammad Fozil Aka Mobile +998 99 133 11 01 ©) to W 4 < Favourites Edit Share More II O <,"Korean characters detected, Multiple numbers + Korean text",NO
Images payments/Screenshot_20250530_175350_Toss.jpg,not_payment_screenshot,0.0,0,VO & 000 (©) 《,VO & 000 (©) 《,,NO
Images payments/Screenshot_20240919_185816_ Hana EZ.jpg,payment_successful,0.9,6,6:58 iat iat ° Sl 21%0 Domestic Transfer x Oj Transfer is completed. 2024.09.19 18:58:13 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Toss 100068928382 NAJIMOV OT Transfer Amount...,6:58 iat iat ° Sl 21%0 Domestic Transfer x Oj Transfer is completed. 2024.09.19 18:58:13 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Toss 100068928382 NAJIMOV OT Transfer Amount...,completed,YES
Images payments/Screenshot_20250119_215411_ Hana EZ.jpg,payment_successful,0.9,6,"9:54 tél XA ll Domestic Transfer x Oj Transfer is completed. 2025.01.19 21:54:08 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Toss 100068928382 NAJIMOV OT Transfer Amount KRW 21,...","9:54 tél XA ll Domestic Transfer x Oj Transfer is completed. 2025.01.19 21:54:08 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Toss 100068928382 NAJIMOV OT Transfer Amount KRW 21,...",completed,YES
Images payments/Screenshot_20250204_093711_ Hana EZ.jpg,payment_successful,0.9,5,9:37 2 {at XM ll 67%G Domestic Transfer x Oj Transfer is completed. 2025.02.04 09:37:09 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Hana Bank 74891011867905 INOKOV OYBEK ULUGBEK...,9:37 2 {at XM ll 67%G Domestic Transfer x Oj Transfer is completed. 2025.02.04 09:37:09 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Hana Bank 74891011867905 INOKOV OYBEK ULUGBEK...,completed,YES
Images payments/Screenshot_20240930_115649_ Hana EZ.jpg,payment_successful,0.9,5,11:56 {at 90%G Domestic Transfer x Oj Transfer is completed. 2024.09.30 11:56:45 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Hana Bank 64791047869307 TEMUROVA OZODA MAKHMUTALIEV...,11:56 {at 90%G Domestic Transfer x Oj Transfer is completed. 2024.09.30 11:56:45 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Hana Bank 64791047869307 TEMUROVA OZODA MAKHMUTALIEV...,completed,YES
Images payments/Screenshot_20250117_095506_ Hana EZ.jpg,payment_successful,0.9,6,9:55 Bi {시 wll 81%G Domestic Transfer x Oj Transfer is completed. 2025.01.17 09:55:03 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Kookmin Bank 64680101486242 바 스 지드 인 하 Transfer...,9:55 Bi {시 wll 81%G Domestic Transfer x Oj Transfer is completed. 2025.01.17 09:55:03 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Kookmin Bank 64680101486242 바스지드인하 Transfer Amo...,completed,YES
Images payments/Screenshot_20241130_181042_ Hana EZ.jpg,payment_successful,0.85,8,"6:10 &, ull 89%0 ㅁ & View Transaction Histony 4 Transactions /2024-10-30 ~ 2024-11-30 x 2024.11.21 KRW 252,440 Withdrawal -7,/50 Vv 2024.11.20 KRW 269,840 Withdrawal -2,300 v 2024.11.19 KRW 277,590 Wi...","6:10 &, ull 89%0 ㅁ & View Transaction Histony 4 Transactions /2024-10-30 ~ 2024-11-30 x 2024.11.21 KRW 252,440 Withdrawal -7,/50 Vv 2024.11.20 KRW 269,840 Withdrawal -2,300 v 2024.11.19 KRW 277,590 Wi...","은행, 송금, 송금, High payment score: 8",YES
Images payments/Screenshot_20241127_134547_ Hana EZ.jpg,payment_successful,0.85,5,"1:45 tat NK Fh ull 95% B € View Transaction ^ YOUNGHANAPLUS 060 40609 Transactions /2024-10-27 ~ 2024-11-27 x Withdrawal -71,000 v 2024.11.27 KRW 458 Withdrawal -120,082 A” 2024.11.26 KRW 71,458 Class...","1:45 tat NK Fh ull 95% B € View Transaction ^ YOUNGHANAPLUS 060 40609 Transactions /2024-10-27 ~ 2024-11-27 x Withdrawal -71,000 v 2024.11.27 KRW 458 Withdrawal -120,082 A” 2024.11.26 KRW 71,458 Class...",High payment score: 5,YES
Images payments/Screenshot_20250521_143122_Toss.jpg,payment_successful,0.85,5,AGO © SAVADDINOW DOSTON RUSTAM 161900 원 을 000 (©) 《,AGO © SAVADDINOW DOSTON RUSTAM 161900 원을 000 (©) 《,"원, High payment score: 5",YES
Images payments/Screenshot_20250116_203934_ Hana EZ.jpg,payment_successful,0.9,5,8:39 BS IAI * BS wll Domestic Transfer x Oj Transfer is completed. 2025.01.16 20:39:31 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Woori Bank 1002859419808 BYAMBAJAV Transfer Am...,8:39 BS IAI * BS wll Domestic Transfer x Oj Transfer is completed. 2025.01.16 20:39:31 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Woori Bank 1002859419808 BYAMBAJAV Transfer Am...,completed,YES
Images payments/Screenshot_20250527_173001_Toss.jpg,not_payment_screenshot,0.0,0,& AEDUKARIVIOW LHUMOVUNEEK 000 (©) 《,& AEDUKARIVIOW LHUMOVUNEEK 000 (©) 《,,NO
Images payments/Screenshot_20250709_210453_Toss.jpg,not_payment_screenshot,0.0,1,& 59952 MAKKAMADION co ECA] AKHIMADKHON MAKHAMADION ale Fe] MAKHAMADION UE] 6“ | eee) 000 (©) 《,& 59952 MAKKAMADION co ECA] AKHIMADKHON MAKHAMADION ale Fe] MAKHAMADION UE] 6“ | eee) 000 (©) 《,,NO
Images payments/Screenshot_20241207_202441_ Hana EZ.jpg,payment_successful,0.9,6,8:24 ㅜㅠ 스치 * 6 Ful 32%9 Domestic Transfer x Oj Transfer is completed. 2024.12.07 20:24:37 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Toss 100067283931 RAYKHONOV Transfer Amount...,8:24 ㅜㅠ 스치 * 6 Ful 32%9 Domestic Transfer x Oj Transfer is completed. 2024.12.07 20:24:37 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Toss 100067283931 RAYKHONOV Transfer Amount...,completed,YES
Images payments/Screenshot_20241117_145911_ Hana EZ.jpg,payment_successful,0.9,5,2:59 Ee iat) ㆍ WE wl Domestic Transfer x Gj Transfer is completed. 2024.11.17 14:59:08 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient NH Bank 3522054780513 KIYOMOVASA Transfer Amou...,2:59 Ee iat) ㆍ WE wl Domestic Transfer x Gj Transfer is completed. 2024.11.17 14:59:08 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient NH Bank 3522054780513 KIYOMOVASA Transfer Amou...,completed,YES
Images payments/Screenshot_20250207_130133_ Hana EZ.jpg,payment_successful,0.9,6,1:01 62 시 XZ il 96%O Domestic Transfer x Oj Transfer is completed. 2025.02.07 13:01:28 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Kookmin Bank 64680101486242 마 스 지드 인 하 (43 Tra...,1:01 62 시 XZ il 96%O Domestic Transfer x Oj Transfer is completed. 2025.02.07 13:01:28 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Kookmin Bank 64680101486242 마스지드인하 (43 Transfe...,completed,YES
Images payments/Screenshot_20241217_204001_Calculator.jpg,unknown,0.0,0,,,No text detected,NO
Images payments/Screenshot_20240405_134818_Phone.jpg,not_payment_screenshot,0.0,1,1228 & o QFN OVO rT Q 8 901858717 1 2 2 6 0 a 66) @ 000 O,1228 & o QFN OVO rT Q 8 901858717 1 2 2 6 0 a 66) @ 000 O,,NO
Images payments/Screenshot_20241213_151305_KakaoMap.jpg,unknown,0.7,2,"SB BOO BVO < > INCHEON SX 서 흥 초등학교 배 송 현 주 공 아파트 송 현 아파트 a 솔 빛 마 을 주 공 아파트 솔 빚 마 을 i 송 현 시 장 . 수 도 국 산 달 동 네 박물관 APT 화 평 철 교 . 화 평 동 냉 면 거 리 동 인 천 역 정 류 장 (35185) 환승 = 24 13min (Empty) 9 w.A 71010, 67...","SB BOO BVO < > INCHEON SX 서흥초등학교배송현주공아파트송현아파트 a 솔빛마을주공아파트솔빚마을 i 송현시장 . 수도국산달동네박물관 APT 화평철교 . 화평동냉면거리동인천역정류장 (35185) 환승 = 24 13min (Empty) 9 w.A 71010, 674 정류장이동 A b | 은 [ DO 신포시장 | 신포역 - 인천여자상업고등학교 | ...",Medium payment score: 2,NO
Images payments/Screenshot_20241130_181131_ Hana EZ.jpg,payment_successful,0.85,8,"6:11 BS tat all 89%O & View Transaction Histony 4 Transactions /2024-10-30 ~ 2024-11-30 x Withdrawal -10,000 v 2024.11.08 KRW 1,360 Withdrawal -8,100 v 2024.11.08 KRW 11,360 Withdrawal -11,000 v 2024....","6:11 BS tat all 89%O & View Transaction Histony 4 Transactions /2024-10-30 ~ 2024-11-30 x Withdrawal -10,000 v 2024.11.08 KRW 1,360 Withdrawal -8,100 v 2024.11.08 KRW 11,360 Withdrawal -11,000 v 2024....","은행, 송금, 송금, High payment score: 8",YES
Images payments/Screenshot_20241029_124836_ Hana EZ.jpg,payment_successful,0.85,8,"12:48 B iat & View Transaction Histony 4 Transactions /2024-09-29 ~ 2024-10-29 x 2024.10.28 KRW 6,210 Deposit +40,000 2024.10.28 KRW 46,210 Withdrawal -680,0000 “~ 2024.10.25 KRW 6,210 Classification ...","12:48 B iat & View Transaction Histony 4 Transactions /2024-09-29 ~ 2024-10-29 x 2024.10.28 KRW 6,210 Deposit +40,000 2024.10.28 KRW 46,210 Withdrawal -680,0000 “~ 2024.10.25 KRW 6,210 Classification ...","은행, 송금, 송금, High payment score: 8",YES
Images payments/Screenshot_20241027_233625.jpg,payment_successful,0.85,5,"11:36 Bis 8 ㆍ BX 기 25%0 < | mixture blender UW (_) ) 배송비 포함 쿠 팡 랭 킹 순 BH aa 43% 49,0002 LS) 27,4509) # 로 켓 배송 파르 내 일 (월) 도착 보장 |] 6 ae | 3) | 습 습 (4,898) 방금 본 상 품 과 비슷한 상품 | 고 에 @| € 아이오 진공 블 렌 WAH 프 ...","11:36 Bis 8 ㆍ BX 기 25%0 < | mixture blender UW (_) ) 배송비포함쿠팡랭킹순 BH aa 43% 49,0002 LS) 27,4509) # 로켓배송파르내일 (월) 도착보장 |] 6 ae | 3) | 습습 (4,898) 방금본상품과비슷한상품 | 고에 @| € 아이오진공블렌 WAH 프레수다용도 | 필립스뉴프 5 더화이트 UB-...","원, 원, 원, High payment score: 5",YES
Images payments/Screenshot_20250523_010713_Telegram.jpg,not_payment_screenshot,0.0,1,1000 Hi © (aoa) & 8 69 massage CBE SF (6) 00:04 1:03 AM ^ Murtazo Voice message (6) 00:05 1:06 AM 6689 Qe SY? SFB Xolamdan otganda sanga@® 1:06AM v ©) Message Q Y II O <,1000 Hi © (aoa) & 8 69 massage CBE SF (6) 00:04 1:03 AM ^ Murtazo Voice message (6) 00:05 1:06 AM 6689 Qe SY? SFB Xolamdan otganda sanga@® 1:06AM v ©) Message Q Y II O <,,NO
Images payments/Screenshot_20240127_155847_Yandex Go.jpg,unknown,0.7,2,"8008 \ a NN \\ 에 \ ~ i oc 1 - 2 Arriving in ~2 min 4.95 White Chevrolet Spark C-o.! SN 10Z102BB Oe SM ees 30-mavze, 31 + Addstop > Destination (SN 000 (©) €","8008 \ a NN \\ 에 \ ~ i oc 1 - 2 Arriving in ~2 min 4.95 White Chevrolet Spark C-o.! SN 10Z102BB Oe SM ees 30-mavze, 31 + Addstop > Destination (SN 000 (©) €",Medium payment score: 2,NO
Images payments/Screenshot_20250128_094425_ Hana EZ.jpg,payment_successful,0.9,5,9:44 시 1 x 2 il 100%0 Domestic Transfer x Oj Transfer is completed. 2025.01.28 09:44:23 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Hana Bank 74891140736707 BAKTYBEK UULU ARSEN ...,9:44 시 1 x 2 il 100%0 Domestic Transfer x Oj Transfer is completed. 2025.01.28 09:44:23 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Hana Bank 74891140736707 BAKTYBEK UULU ARSEN ...,completed,YES
Images payments/Screenshot_20241119_162653_ Hana EZ.jpg,payment_successful,0.9,5,4:26 경시 6 XE ul 87%6 Domestic Transfer x Oj Transfer is completed. 2024.11.19 16:26:49 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Hana Bank 74891123069207 SIROJIDDINOV ABDULAZI...,4:26 경시 6 XE ul 87%6 Domestic Transfer x Oj Transfer is completed. 2024.11.19 16:26:49 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Hana Bank 74891123069207 SIROJIDDINOV ABDULAZI...,completed,YES
Images payments/Screenshot_20250422_141312_Toss.jpg,not_payment_screenshot,0.0,0,BF S a 000 O €,BF S a 000 O €,,NO
Images payments/Screenshot_20241209_085935_Telegram.jpg,unknown,0.7,2,ㅇ BOO) = Wetting for nstiwork. Q ee [> Adham Nabulsi- 24 vl x See You: https://www.instagram.com/... (3?) 디 Saved Messages Thu Draft: T9 Millennials 6602 Coz the... (x) Arxiv & ^ Wed 40 J Photo @) SAL...,ㅇ BOO) = Wetting for nstiwork. Q ee [> Adham Nabulsi- 24 vl x See You: https://www.instagram.com/... (3?) 디 Saved Messages Thu Draft: T9 Millennials 6602 Coz the... (x) Arxiv & ^ Wed 40 J Photo @) SAL...,Medium payment score: 2,NO
Images payments/Screenshot_20250523_232517_Karrot.jpg,not_payment_screenshot,0.0,1,10088 SB el VO < 165-70-00408 000 O €,10088 SB el VO < 165-70-00408 000 O €,,NO
Images payments/Screenshot_20250120_030210_ Hana EZ.jpg,payment_successful,0.9,6,3:02 tat BE Wl 40%O Domestic Transfer x Oj Transfer is completed. 2025.01.20 03:02:08 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Toss 100068928382 NAJIMOV OT Transfer Amount KR...,3:02 tat BE Wl 40%O Domestic Transfer x Oj Transfer is completed. 2025.01.20 03:02:08 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Toss 100068928382 NAJIMOV OT Transfer Amount KR...,completed,YES
Images payments/Screenshot_20250518_050610_Coupang.jpg,payment_successful,0.7,0,"5:06 NE HE ll 17%0 AD 2 도 Iriver ultra-lightweight noise canceling vir... > iy 459,000 Seller Rocket iS {+ )) (pas ~ if @ 는 ees were A oe eu Details > } OOO lo 300+ bought in past month Www vy (832) E...","5:06 NE HE ll 17%0 AD 2 도 Iriver ultra-lightweight noise canceling vir... > iy 459,000 Seller Rocket iS {+ )) (pas ~ if @ 는 ees were A oe eu Details > } OOO lo 300+ bought in past month Www vy (832) E...","Korean characters detected, Multiple numbers + Korean text",NO
Images payments/Screenshot_20241008_164502_Samsung Notes.jpg,unknown,0.6,0,{ ~ ; ： © | 다 ( | 3 | < | q,{ ~ ; ： © | 다 ( | 3 | < | q,Korean characters detected,NO
Images payments/Screenshot_20250422_121131_Toss.jpg,not_payment_screenshot,0.0,0,Bn Vas Se 000 O €,Bn Vas Se 000 O €,,NO
Images payments/Screenshot_20250120_223040_ Hana EZ.jpg,payment_successful,0.9,6,10:30 62 tél x 3 ll Domestic Transfer x Oj Transfer is completed. 2025.01.20 22:30:37 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Hana Bank 44991025536907 박현영 Transfer Amount KR...,10:30 62 tél x 3 ll Domestic Transfer x Oj Transfer is completed. 2025.01.20 22:30:37 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Hana Bank 44991025536907 박현영 Transfer Amount KR...,completed,YES
Images payments/Screenshot_20250119_221236_ Hana EZ.jpg,payment_successful,0.9,6,10:12 경 B iat Xl 19% ㅁ Domestic Transfer x Oj Transfer is completed. 2025.01.19 22:12:33 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Hana Bank 46091491133637 한 전 ( 박 정 식 ) Trans...,10:12 경 B iat Xl 19% ㅁ Domestic Transfer x Oj Transfer is completed. 2025.01.19 22:12:33 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Hana Bank 46091491133637 한전 ( 박정식 ) Transfer...,completed,YES
Images payments/Screenshot_20250415_192636_INHA Library.jpg,not_payment_screenshot,0.0,0,7B OAS R@BFAMG € Reading room Reserve (9) ReadingRoom Jungseok Lounge Multimedia Center 0 407 / 407 1 Reading 2-1 Reading Room Room 2-2 Reading 2-2 Reading Room Room (for graduates only) 000 © €,7B OAS R@BFAMG € Reading room Reserve (9) ReadingRoom Jungseok Lounge Multimedia Center 0 407 / 407 1 Reading 2-1 Reading Room Room 2-2 Reading 2-2 Reading Room Room (for graduates only) 000 © €,,NO
Images payments/Screenshot_20241002_233809_ Hana EZ.jpg,payment_successful,0.9,6,11:38 SO iAt * 11%0 Domestic Transfer x Oj Transfer is completed. 2024.10.02 23:38:07 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Toss 100078681518 ABDUKARIMO Transfer Amount KR...,11:38 SO iAt * 11%0 Domestic Transfer x Oj Transfer is completed. 2024.10.02 23:38:07 Withdrawal Account YOUNGHANAPLUS Demand 748-911394-88007 Recipient Toss 100078681518 ABDUKARIMO Transfer Amount KR...,completed,YES
